OCC_CODE,Commodity Title,Example
43-9081,Desktop publishing software,Adobe InDesign
43-9081,Document management software,Adobe Acrobat
43-9081,Electronic mail software,Microsoft Outlook
43-9081,Graphics or photo imaging software,Adobe Photoshop
43-9081,Office suite software,Microsoft Office software
43-9081,Presentation software,Microsoft PowerPoint
43-9081,Process mapping and design software,Microsoft Visio
43-9081,Sales and marketing software,HubSpot software
43-9081,Spreadsheet software,Microsoft Excel
43-9081,Video creation and editing software,Adobe After Effects
43-9081,Web page creation and editing software,WordPress
43-9081,Word processing software,Microsoft Word
43-9111,Analytical or scientific software,The MathWorks MATLAB
43-9111,Business intelligence and data analysis software,Tableau
43-9111,Computer aided design CAD software,Bentley MicroStation
43-9111,Data base management system software,Oracle PL/SQL
43-9111,Data base user interface and query software,Structured query language SQL
43-9111,Development environment software,Microsoft Visual Studio
43-9111,Electronic mail software,Microsoft Outlook
43-9111,Object or component oriented development software,R
43-9111,Office suite software,Microsoft Office software
43-9111,Presentation software,Microsoft PowerPoint
43-9111,Spreadsheet software,Microsoft Excel
43-9111,Web platform development software,Microsoft Active Server Pages ASP
43-9111,Word processing software,Microsoft Word
45-1011,Electronic mail software,Microsoft Outlook
45-1011,Office suite software,Microsoft Office software
45-1011,Presentation software,Microsoft PowerPoint
45-1011,Project management software,Atlassian Confluence
45-1011,Spreadsheet software,Microsoft Excel
45-1011,Word processing software,Microsoft Word
45-2011,Data base user interface and query software,Microsoft Access
45-2011,Electronic mail software,Microsoft Outlook
45-2011,Office suite software,Microsoft Office software
45-2011,Presentation software,Microsoft PowerPoint
45-2011,Spreadsheet software,Microsoft Excel
45-2011,Word processing software,Microsoft Word
45-2021,Cloud-based data access and sharing software,Microsoft SharePoint
45-2021,Data base user interface and query software,Microsoft Access
45-2021,Desktop publishing software,Adobe InDesign
45-2021,Document management software,Adobe Acrobat
45-2021,Electronic mail software,Microsoft Outlook
45-2021,Graphics or photo imaging software,Adobe Photoshop
45-2021,Office suite software,Microsoft Office software
45-2021,Operating system software,Microsoft Windows
45-2021,Spreadsheet software,Microsoft Excel
45-2021,Word processing software,Microsoft Word
45-2041,Data base user interface and query software,Microsoft Access
45-2041,Electronic mail software,Microsoft Outlook
45-2041,Office suite software,Microsoft Office software
45-2041,Presentation software,Microsoft PowerPoint
45-2041,Spreadsheet software,Microsoft Excel
45-2041,Web platform development software,Microsoft Active Server Pages ASP
45-2041,Word processing software,Microsoft Word
45-2091,Data base user interface and query software,Microsoft Access
45-2091,Presentation software,Microsoft PowerPoint
45-2091,Spreadsheet software,Microsoft Excel
45-2092,Electronic mail software,Microsoft Outlook
45-2092,Office suite software,Microsoft Office software
45-2092,Presentation software,Microsoft PowerPoint
45-2092,Spreadsheet software,Microsoft Excel
45-2092,Word processing software,Microsoft Word
45-2093,Office suite software,Microsoft Office software
45-2093,Spreadsheet software,Microsoft Excel
45-2093,Word processing software,Microsoft Word
45-3031,Office suite software,Microsoft Office software
45-3031,Spreadsheet software,Microsoft Excel
45-4011,Data base user interface and query software,Microsoft Access
45-4011,Electronic mail software,Microsoft Outlook
45-4011,Geographic information system,Geographic information system GIS systems
45-4011,Office suite software,Microsoft Office software
45-4011,Operating system software,Microsoft Windows
45-4011,Presentation software,Microsoft PowerPoint
45-4011,Project management software,Microsoft Project
45-4011,Spreadsheet software,Microsoft Excel
45-4011,Word processing software,Microsoft Word
45-4021,Electronic mail software,Microsoft Outlook
45-4021,Office suite software,Microsoft Office software
45-4021,Presentation software,Microsoft PowerPoint
45-4021,Spreadsheet software,Microsoft Excel
45-4021,Word processing software,Microsoft Word
45-4022,Electronic mail software,Microsoft Outlook
45-4022,Enterprise resource planning ERP software,SAP software
45-4022,Office suite software,Microsoft Office software
45-4022,Spreadsheet software,Microsoft Excel
45-4022,Word processing software,Microsoft Word
45-4023,Data base user interface and query software,Microsoft Access
45-4023,Electronic mail software,Microsoft Outlook
45-4023,Enterprise resource planning ERP software,SAP software
45-4023,Office suite software,Microsoft Office software
45-4023,Operating system software,Microsoft Windows
45-4023,Presentation software,Microsoft PowerPoint
45-4023,Spreadsheet software,Microsoft Excel
45-4023,Word processing software,Microsoft Word
47-1011,Analytical or scientific software,Procore software
47-1011,Computer aided design CAD software,Trimble SketchUp Pro
47-1011,Customer relationship management CRM software,Salesforce software
47-1011,Document management software,Adobe Acrobat
47-1011,Electronic mail software,Microsoft Outlook
47-1011,Enterprise resource planning ERP software,SAP software
47-1011,Office suite software,Microsoft Office software
47-1011,Operating system software,Microsoft Windows
47-1011,Presentation software,Microsoft PowerPoint
47-1011,Process mapping and design software,Microsoft Visio
47-1011,Project management software,Oracle Primavera Enterprise Project Portfolio Management
47-1011,Spreadsheet software,Microsoft Excel
47-1011,Word processing software,Microsoft Word
47-2011,Computer aided design CAD software,Autodesk AutoCAD
47-2011,Electronic mail software,Microsoft Outlook
47-2011,Enterprise resource planning ERP software,SAP software
47-2011,Office suite software,Microsoft Office software
47-2011,Operating system software,Microsoft Windows
47-2011,Spreadsheet software,Microsoft Excel
47-2011,Word processing software,Microsoft Word
47-2021,Accounting software,Intuit QuickBooks
47-2021,Office suite software,Microsoft Office software
47-2021,Operating system software,Microsoft Windows
47-2021,Spreadsheet software,Microsoft Excel
47-2022,Accounting software,Intuit QuickBooks
47-2022,Enterprise resource planning ERP software,SAP software
47-2022,Office suite software,Microsoft Office software
47-2022,Spreadsheet software,Microsoft Excel
47-2022,Web platform development software,Microsoft Active Server Pages ASP
47-2022,Word processing software,Microsoft Word
47-2031,Accounting software,Intuit QuickBooks
47-2031,Office suite software,Microsoft Office software
47-2031,Operating system software,Microsoft Windows
47-2031,Spreadsheet software,Microsoft Excel
47-2031,Word processing software,Microsoft Word
47-2041,Computer aided design CAD software,Autodesk AutoCAD
47-2041,Office suite software,Microsoft Office software
47-2041,Spreadsheet software,Microsoft Excel
47-2041,Word processing software,Microsoft Word
47-2042,Office suite software,Microsoft Office software
47-2042,Web page creation and editing software,Facebook
47-2043,Spreadsheet software,Microsoft Excel
47-2044,Customer relationship management CRM software,Salesforce software
47-2044,Electronic mail software,Microsoft Outlook
47-2044,Office suite software,Microsoft Office software
47-2044,Presentation software,Microsoft PowerPoint
47-2044,Spreadsheet software,Microsoft Excel
47-2044,Word processing software,Microsoft Word
47-2053,Accounting software,Intuit QuickBooks
47-2053,Operating system software,Microsoft Windows
47-2053,Spreadsheet software,Microsoft Excel
47-2061,Computer aided design CAD software,Autodesk Revit
47-2061,Electronic mail software,Microsoft Outlook
47-2061,Office suite software,Microsoft Office software
47-2061,Operating system software,Microsoft Windows
47-2061,Project management software,Oracle Primavera Enterprise Project Portfolio Management
47-2061,Spreadsheet software,Microsoft Excel
47-2061,Word processing software,Microsoft Word
47-2071,Computer aided design CAD software,Autodesk AutoCAD Civil 3D
47-2071,Electronic mail software,Microsoft Outlook
47-2071,Office suite software,Microsoft Office software
47-2071,Spreadsheet software,Microsoft Excel
47-2072,Spreadsheet software,Microsoft Excel
47-2073,Electronic mail software,Microsoft Outlook
47-2073,Office suite software,Microsoft Office software
47-2073,Operating system software,Microsoft Windows
47-2073,Spreadsheet software,Microsoft Excel
47-2081,Office suite software,Microsoft Office software
47-2081,Operating system software,Microsoft Windows
47-2081,Word processing software,Microsoft Word
47-2082,Accounting software,Intuit QuickBooks
47-2082,Enterprise resource planning ERP software,Microsoft Dynamics
47-2082,Office suite software,Microsoft Office software
47-2111,Computer aided design CAD software,Autodesk AutoCAD
47-2111,Document management software,Adobe Acrobat
47-2111,Electronic mail software,Microsoft Outlook
47-2111,Enterprise resource planning ERP software,SAP software
47-2111,Office suite software,Microsoft Office software
47-2111,Operating system software,Microsoft Windows
47-2111,Spreadsheet software,Microsoft Excel
47-2111,Word processing software,Microsoft Word
47-2121,Office suite software,Microsoft Office software
47-2121,Operating system software,Microsoft Windows
47-2121,Spreadsheet software,Microsoft Excel
47-2131,Electronic mail software,Microsoft Outlook
47-2131,Office suite software,Microsoft Office software
47-2131,Operating system software,Microsoft Windows
47-2131,Spreadsheet software,Microsoft Excel
47-2141,Office suite software,Microsoft Office software
47-2141,Operating system software,Microsoft Windows
47-2141,Spreadsheet software,Microsoft Excel
47-2141,Word processing software,Microsoft Word
47-2142,Spreadsheet software,Microsoft Excel
47-2142,Word processing software,Microsoft Word
47-2151,Office suite software,Microsoft Office software
47-2151,Spreadsheet software,Microsoft Excel
47-2152,Accounting software,Intuit QuickBooks
47-2152,Computer aided design CAD software,Dassault Systemes SolidWorks
47-2152,Customer relationship management CRM software,Salesforce software
47-2152,Development environment software,Microsoft Visual Basic for Applications VBA
47-2152,Electronic mail software,Microsoft Outlook
47-2152,Graphics or photo imaging software,Adobe Photoshop
47-2152,Inventory management software,Inventory control system software
47-2152,Object or component oriented development software,Oracle Java
47-2152,Office suite software,Microsoft Office software
47-2152,Presentation software,Microsoft PowerPoint
47-2152,Spreadsheet software,Microsoft Excel
47-2152,Web platform development software,Microsoft Active Server Pages ASP
47-2152,Word processing software,Microsoft Word
47-2161,Customer relationship management CRM software,Salesforce software
47-2161,Data base user interface and query software,Oracle Database
47-2161,Office suite software,Microsoft Office software
47-2161,Operating system software,Linux
47-2161,Spreadsheet software,Microsoft Excel
47-2161,Word processing software,Microsoft Word
47-2181,Office suite software,Microsoft Office software
47-2181,Operating system software,Microsoft Windows
47-2181,Spreadsheet software,Microsoft Excel
47-2181,Word processing software,Microsoft Word
47-2211,Computer aided design CAD software,Autodesk AutoCAD
47-2211,Office suite software,Microsoft Office software
47-2211,Operating system software,Microsoft Windows
47-2211,Spreadsheet software,Microsoft Excel
47-2211,Word processing software,Microsoft Word
47-2221,Electronic mail software,Microsoft Outlook
47-2231,Customer relationship management CRM software,Salesforce software
47-2231,Electronic mail software,Microsoft Outlook
47-2231,Enterprise application integration software,Extensible markup language XML
47-2231,Office suite software,Microsoft Office software
47-2231,Spreadsheet software,Microsoft Excel
47-2231,Word processing software,Microsoft Word
47-3011,Accounting software,Intuit QuickBooks
47-3011,Cloud-based data access and sharing software,Microsoft SharePoint
47-3011,Computer aided design CAD software,Autodesk Revit
47-3011,Data base user interface and query software,Microsoft Access
47-3011,Office suite software,Microsoft Office software
47-3011,Presentation software,Microsoft PowerPoint
47-3011,Process mapping and design software,Microsoft Visio
47-3011,Spreadsheet software,Microsoft Excel
47-3011,Word processing software,Microsoft Word
47-3012,Accounting software,Intuit QuickBooks
47-3012,Cloud-based data access and sharing software,Microsoft SharePoint
47-3012,Customer relationship management CRM software,Salesforce software
47-3012,Data base user interface and query software,Oracle Database
47-3012,Electronic mail software,Microsoft Outlook
47-3012,Enterprise resource planning ERP software,SAP software
47-3012,Office suite software,Microsoft Office software
47-3012,Operating system software,UNIX
47-3012,Presentation software,Microsoft PowerPoint
47-3012,Spreadsheet software,Microsoft Excel
47-3012,Word processing software,Microsoft Word
47-3013,Office suite software,Microsoft Office software
47-3013,Spreadsheet software,Microsoft Excel
47-3014,Office suite software,Microsoft Office software
47-3014,Spreadsheet software,Microsoft Excel
47-3015,Office suite software,Microsoft Office software
47-3015,Spreadsheet software,Microsoft Excel
47-3015,Word processing software,Microsoft Word
47-4011,Accounting software,Intuit QuickBooks
47-4011,Analytical or scientific software,The MathWorks MATLAB
47-4011,Cloud-based data access and sharing software,Microsoft SharePoint
47-4011,Computer aided design CAD software,Autodesk AutoCAD
47-4011,Customer relationship management CRM software,Salesforce software
47-4011,Data base user interface and query software,Structured query language SQL
47-4011,Development environment software,Microsoft Visual Basic
47-4011,Electronic mail software,Microsoft Outlook
47-4011,Enterprise resource planning ERP software,SAP software
47-4011,Graphics or photo imaging software,Adobe Photoshop
47-4011,Object or component oriented development software,R
47-4011,Office suite software,Microsoft Office software
47-4011,Operating system software,UNIX
47-4011,Presentation software,Microsoft PowerPoint
47-4011,Project management software,Oracle Primavera Enterprise Project Portfolio Management
47-4011,Spreadsheet software,Microsoft Excel
47-4011,Word processing software,Microsoft Word
47-4021,Electronic mail software,Microsoft Outlook
47-4021,Spreadsheet software,Microsoft Excel
47-4021,Word processing software,Microsoft Word
47-4031,Computer aided design CAD software,Autodesk AutoCAD
47-4031,Spreadsheet software,Microsoft Excel
47-4031,Web page creation and editing software,Facebook
47-4041,Electronic mail software,Microsoft Outlook
47-4041,Enterprise application integration software,Jenkins CI
47-4041,Enterprise resource planning ERP software,SAP software
47-4041,Office suite software,Microsoft Office software
47-4041,Presentation software,Microsoft PowerPoint
47-4041,Spreadsheet software,Microsoft Excel
47-4041,Word processing software,Microsoft Word
47-4051,Electronic mail software,Microsoft Outlook
47-4051,Office suite software,Microsoft Office software
47-4051,Presentation software,Microsoft PowerPoint
47-4051,Spreadsheet software,Microsoft Excel
47-4051,Word processing software,Microsoft Word
47-4061,Office suite software,Microsoft Office software
47-4061,Spreadsheet software,Microsoft Excel
47-4071,Accounting software,Intuit QuickBooks
47-4071,Spreadsheet software,Microsoft Excel
47-4071,Word processing software,Microsoft Word
47-4091,Office suite software,Microsoft Office software
47-4091,Presentation software,Microsoft PowerPoint
47-4091,Spreadsheet software,Microsoft Excel
47-4091,Word processing software,Microsoft Word
47-4099,Data base user interface and query software,Microsoft Access
47-4099,Electronic mail software,Microsoft Outlook
47-4099,Enterprise resource planning ERP software,SAP software
47-4099,Office suite software,Microsoft Office software
47-4099,Operating system software,Microsoft Windows
47-4099,Presentation software,Microsoft PowerPoint
47-4099,Project management software,Microsoft Project
47-4099,Spreadsheet software,Microsoft Excel
47-4099,Word processing software,Microsoft Word
47-5011,Electronic mail software,Microsoft Outlook
47-5011,Spreadsheet software,Microsoft Excel
47-5011,Word processing software,Microsoft Word
47-5012,Customer relationship management CRM software,Salesforce software
47-5012,Enterprise resource planning ERP software,SAP software
47-5012,Object or component oriented development software,Python
47-5012,Office suite software,Microsoft Office software
47-5012,Spreadsheet software,Microsoft Excel
47-5012,Word processing software,Microsoft Word
47-5013,Cloud-based data access and sharing software,Microsoft SharePoint
47-5013,Enterprise resource planning ERP software,SAP software
47-5013,Office suite software,Microsoft Office software
47-5013,Presentation software,Microsoft PowerPoint
47-5013,Spreadsheet software,Microsoft Excel
47-5013,Word processing software,Microsoft Word
47-5022,Electronic mail software,Microsoft Outlook
47-5022,Office suite software,Microsoft Office software
47-5022,Operating system software,Microsoft Windows
47-5022,Presentation software,Microsoft PowerPoint
47-5022,Spreadsheet software,Microsoft Excel
47-5022,Word processing software,Microsoft Word
47-5023,Office suite software,Microsoft Office software
47-5023,Spreadsheet software,Microsoft Excel
47-5023,Word processing software,Microsoft Word
47-5032,Computer aided design CAD software,Autodesk AutoCAD
47-5032,Electronic mail software,Microsoft Outlook
47-5032,Geographic information system,ESRI ArcGIS software
47-5032,Office suite software,Microsoft Office software
47-5032,Presentation software,Microsoft PowerPoint
47-5032,Spreadsheet software,Microsoft Excel
47-5032,Word processing software,Microsoft Word
47-5041,Office suite software,Microsoft Office software
47-5041,Presentation software,Microsoft PowerPoint
47-5041,Spreadsheet software,Microsoft Excel
47-5041,Word processing software,Microsoft Word
47-5044,Electronic mail software,Microsoft Outlook
47-5044,Operating system software,Microsoft Windows
47-5044,Presentation software,Microsoft PowerPoint
47-5044,Spreadsheet software,Microsoft Excel
47-5051,Computer aided design CAD software,Autodesk AutoCAD
47-5051,Enterprise resource planning ERP software,SAP software
47-5051,Office suite software,Microsoft Office software
47-5051,Presentation software,Microsoft PowerPoint
47-5051,Project management software,Microsoft Project
47-5051,Spreadsheet software,Microsoft Excel
47-5051,Web page creation and editing software,Facebook
47-5051,Word processing software,Microsoft Word
47-5071,Data base user interface and query software,Microsoft Access
47-5071,Electronic mail software,Microsoft Outlook
47-5071,Enterprise resource planning ERP software,SAP software
47-5071,Office suite software,Microsoft Office software
47-5071,Operating system software,Microsoft Windows
47-5071,Presentation software,Microsoft PowerPoint
47-5071,Spreadsheet software,Microsoft Excel
47-5071,Word processing software,Microsoft Word
47-5081,Electronic mail software,Microsoft Outlook
47-5081,Office suite software,Microsoft Office software
47-5081,Spreadsheet software,Microsoft Excel
47-5081,Word processing software,Microsoft Word
49-1011,Cloud-based data access and sharing software,Microsoft SharePoint
49-1011,Computer aided design CAD software,Autodesk AutoCAD
49-1011,Data base user interface and query software,Yardi software
49-1011,Electronic mail software,Microsoft Outlook
49-1011,Enterprise resource planning ERP software,SAP software
49-1011,Office suite software,Microsoft Office software
49-1011,Operating system software,Microsoft Windows
49-1011,Presentation software,Microsoft PowerPoint
49-1011,Project management software,Oracle Primavera Enterprise Project Portfolio Management
49-1011,Spreadsheet software,Microsoft Excel
49-1011,Word processing software,Microsoft Word
49-2011,Data base user interface and query software,Structured query language SQL
49-2011,Document management software,Adobe Acrobat
49-2011,Electronic mail software,Microsoft Outlook
49-2011,Enterprise application integration software,Extensible markup language XML
49-2011,Internet directory services software,Microsoft Active Directory
49-2011,Office suite software,Microsoft Office software
49-2011,Operating system software,UNIX
49-2011,Presentation software,Microsoft PowerPoint
49-2011,Spreadsheet software,Microsoft Excel
49-2011,Web platform development software,Microsoft Active Server Pages ASP
49-2011,Word processing software,Microsoft Word
49-2021,Electronic mail software,Microsoft Outlook
49-2021,Office suite software,Microsoft Office software
49-2021,Operating system software,Microsoft Windows
49-2021,Presentation software,Microsoft PowerPoint
49-2021,Project management software,Microsoft Project
49-2021,Spreadsheet software,Microsoft Excel
49-2021,Word processing software,Microsoft Word
49-2022,Computer aided design CAD software,Autodesk AutoCAD
49-2022,Electronic mail software,Microsoft Outlook
49-2022,Office suite software,Microsoft Office software
49-2022,Presentation software,Microsoft PowerPoint
49-2022,Spreadsheet software,Microsoft Excel
49-2022,Word processing software,Microsoft Word
49-2091,Computer aided design CAD software,Autodesk AutoCAD
49-2091,Electronic mail software,Microsoft Outlook
49-2091,Enterprise resource planning ERP software,Workday software
49-2091,Object or component oriented development software,Oracle Java
49-2091,Office suite software,Microsoft Office software
49-2091,Operating system software,UNIX
49-2091,Presentation software,Microsoft PowerPoint
49-2091,Spreadsheet software,Microsoft Excel
49-2091,Word processing software,Microsoft Word
49-2092,Computer aided design CAD software,Autodesk AutoCAD
49-2092,Data base user interface and query software,Microsoft Access
49-2092,Electronic mail software,Microsoft Outlook
49-2092,Enterprise resource planning ERP software,SAP software
49-2092,Object or component oriented development software,Python
49-2092,Office suite software,Microsoft Office software
49-2092,Presentation software,Microsoft PowerPoint
49-2092,Spreadsheet software,Microsoft Excel
49-2092,Word processing software,Microsoft Word
49-2093,Computer aided design CAD software,Trimble SketchUp Pro
49-2093,Desktop publishing software,Adobe InDesign
49-2093,Document management software,Adobe Acrobat
49-2093,Graphics or photo imaging software,Adobe Photoshop
49-2093,Office suite software,Microsoft Office software
49-2093,Operating system software,Linux
49-2093,Presentation software,Microsoft PowerPoint
49-2093,Spreadsheet software,Microsoft Excel
49-2093,Word processing software,Microsoft Word
49-2094,Computer aided design CAD software,Autodesk AutoCAD
49-2094,Office suite software,Microsoft Office software
49-2094,Operating system software,Microsoft Windows
49-2094,Spreadsheet software,Microsoft Excel
49-2094,Word processing software,Microsoft Word
49-2095,Computer aided design CAD software,Autodesk AutoCAD
49-2095,Electronic mail software,Microsoft Outlook
49-2095,Office suite software,Microsoft Office software
49-2095,Operating system software,Microsoft Windows
49-2095,Spreadsheet software,Microsoft Excel
49-2095,Word processing software,Microsoft Word
49-2096,Office suite software,Microsoft Office software
49-2096,Presentation software,Microsoft PowerPoint
49-2096,Spreadsheet software,Microsoft Excel
49-2096,Word processing software,Microsoft Word
49-2097,Office suite software,Microsoft Office software
49-2097,Spreadsheet software,Microsoft Excel
49-2097,Word processing software,Microsoft Word
49-2098,Computer aided design CAD software,Autodesk AutoCAD
49-2098,Electronic mail software,Microsoft Outlook
49-2098,Office suite software,Microsoft Office software
49-2098,Operating system software,Microsoft Windows
49-2098,Presentation software,Microsoft PowerPoint
49-2098,Spreadsheet software,Microsoft Excel
49-2098,Word processing software,Microsoft Word
49-3011,Compiler and decompiler software,Disassembler software
49-3011,Electronic mail software,Microsoft Outlook
49-3011,Enterprise resource planning ERP software,SAP software
49-3011,Office suite software,Microsoft Office software
49-3011,Operating system software,Microsoft Windows
49-3011,Presentation software,Microsoft PowerPoint
49-3011,Spreadsheet software,Microsoft Excel
49-3011,Word processing software,Microsoft Word
49-3021,Electronic mail software,Microsoft Outlook
49-3021,Office suite software,Microsoft Office software
49-3021,Operating system software,Microsoft Windows
49-3021,Spreadsheet software,Microsoft Excel
49-3021,Word processing software,Microsoft Word
49-3022,Enterprise resource planning ERP software,Workday software
49-3022,Operating system software,Microsoft Windows
49-3023,Electronic mail software,Microsoft Outlook
49-3023,Enterprise resource planning ERP software,SAP software
49-3023,Office suite software,Microsoft Office software
49-3023,Operating system software,Microsoft Windows
49-3023,Spreadsheet software,Microsoft Excel
49-3023,Word processing software,Microsoft Word
49-3031,Computer aided design CAD software,Dassault Systemes SolidWorks
49-3031,Enterprise resource planning ERP software,SAP software
49-3031,Office suite software,Microsoft Office software
49-3031,Spreadsheet software,Microsoft Excel
49-3031,Word processing software,Microsoft Word
49-3041,Electronic mail software,Microsoft Outlook
49-3041,Office suite software,Microsoft Office software
49-3041,Spreadsheet software,Microsoft Excel
49-3041,Word processing software,Microsoft Word
49-3042,Electronic mail software,Microsoft Outlook
49-3042,Office suite software,Microsoft Office software
49-3042,Spreadsheet software,Microsoft Excel
49-3042,Word processing software,Microsoft Word
49-3043,Compiler and decompiler software,Disassembler software
49-3043,Document management software,Adobe Acrobat
49-3043,Electronic mail software,Microsoft Outlook
49-3043,Office suite software,Microsoft Office software
49-3043,Operating system software,Microsoft Windows
49-3043,Presentation software,Microsoft PowerPoint
49-3043,Spreadsheet software,Microsoft Excel
49-3043,Word processing software,Microsoft Word
49-3051,Office suite software,Microsoft Office software
49-3051,Presentation software,Microsoft PowerPoint
49-3051,Spreadsheet software,Microsoft Excel
49-3051,Web page creation and editing software,Facebook
49-3051,Word processing software,Microsoft Word
49-3052,Office suite software,Microsoft Office software
49-3052,Operating system software,Apple iOS
49-3052,Spreadsheet software,Microsoft Excel
49-3052,Web page creation and editing software,Facebook
49-3052,Word processing software,Microsoft Word
49-3053,Office suite software,Microsoft Office software
49-3053,Spreadsheet software,Microsoft Excel
49-3091,Electronic mail software,Microsoft Outlook
49-3091,Spreadsheet software,Microsoft Excel
49-3091,Word processing software,Microsoft Word
49-3092,Office suite software,Microsoft Office software
49-3092,Spreadsheet software,Microsoft Excel
49-3092,Web page creation and editing software,Facebook
49-3092,Word processing software,Microsoft Word
49-3093,Electronic mail software,Microsoft Outlook
49-3093,Spreadsheet software,Microsoft Excel
49-3093,Word processing software,Microsoft Word
49-9011,Electronic mail software,Microsoft Outlook
49-9011,Office suite software,Microsoft Office software
49-9011,Operating system software,Microsoft Windows
49-9011,Presentation software,Microsoft PowerPoint
49-9011,Spreadsheet software,Microsoft Excel
49-9011,Web page creation and editing software,Facebook
49-9012,Cloud-based data access and sharing software,Microsoft SharePoint
49-9012,Computer aided design CAD software,Autodesk AutoCAD
49-9012,Data base user interface and query software,Structured query language SQL
49-9012,Electronic mail software,Microsoft Outlook
49-9012,Enterprise resource planning ERP software,SAP software
49-9012,Office suite software,Microsoft Office software
49-9012,Operating system software,Microsoft Windows
49-9012,Presentation software,Microsoft PowerPoint
49-9012,Process mapping and design software,Microsoft Visio
49-9012,Project management software,Oracle Primavera Enterprise Project Portfolio Management
49-9012,Spreadsheet software,Microsoft Excel
49-9012,Word processing software,Microsoft Word
49-9021,Computer aided design CAD software,Autodesk AutoCAD
49-9021,Document management software,Adobe Acrobat
49-9021,Electronic mail software,Microsoft Outlook
49-9021,Enterprise resource planning ERP software,SAP software
49-9021,Office suite software,Microsoft Office software
49-9021,Presentation software,Microsoft PowerPoint
49-9021,Spreadsheet software,Microsoft Excel
49-9021,Word processing software,Microsoft Word
49-9031,Electronic mail software,Microsoft Outlook
49-9031,Office suite software,Microsoft Office software
49-9031,Operating system software,Microsoft Windows
49-9031,Spreadsheet software,Microsoft Excel
49-9031,Word processing software,Microsoft Word
49-9041,Electronic mail software,Microsoft Outlook
49-9041,Enterprise resource planning ERP software,SAP software
49-9041,Office suite software,Microsoft Office software
49-9041,Presentation software,Microsoft PowerPoint
49-9041,Spreadsheet software,Microsoft Excel
49-9041,Word processing software,Microsoft Word
49-9043,Electronic mail software,Microsoft Outlook
49-9043,Enterprise resource planning ERP software,SAP software
49-9043,Office suite software,Microsoft Office software
49-9043,Presentation software,Microsoft PowerPoint
49-9043,Spreadsheet software,Microsoft Excel
49-9043,Word processing software,Microsoft Word
49-9044,Computer aided design CAD software,Dassault Systemes SolidWorks
49-9044,Electronic mail software,Microsoft Outlook
49-9044,Enterprise resource planning ERP software,SAP software
49-9044,Office suite software,Microsoft Office software
49-9044,Spreadsheet software,Microsoft Excel
49-9044,Word processing software,Microsoft Word
49-9045,Data base user interface and query software,Microsoft Access
49-9045,Electronic mail software,Microsoft Outlook
49-9045,Presentation software,Microsoft PowerPoint
49-9045,Spreadsheet software,Microsoft Excel
49-9045,Word processing software,Microsoft Word
49-9051,Computer aided design CAD software,Bentley MicroStation
49-9051,Electronic mail software,Microsoft Outlook
49-9051,Office suite software,Microsoft Office software
49-9051,Spreadsheet software,Microsoft Excel
49-9051,Video conferencing software,Zoom
49-9051,Word processing software,Microsoft Word
49-9052,Cloud-based data access and sharing software,Slack
49-9052,Computer aided design CAD software,Autodesk AutoCAD
49-9052,Electronic mail software,Microsoft Outlook
49-9052,Office suite software,Microsoft Office software
49-9052,Spreadsheet software,Microsoft Excel
49-9052,Word processing software,Microsoft Word
49-9061,Office suite software,Microsoft Office software
49-9061,Spreadsheet software,Microsoft Excel
49-9061,Word processing software,Microsoft Word
49-9062,Customer relationship management CRM software,Salesforce software
49-9062,Electronic mail software,Microsoft Outlook
49-9062,Enterprise resource planning ERP software,SAP software
49-9062,Office suite software,Microsoft Office software
49-9062,Presentation software,Microsoft PowerPoint
49-9062,Spreadsheet software,Microsoft Excel
49-9062,Word processing software,Microsoft Word
49-9064,Accounting software,Intuit QuickBooks
49-9064,Enterprise resource planning ERP software,SAP software
49-9064,Office suite software,Microsoft Office software
49-9064,Spreadsheet software,Microsoft Excel
49-9064,Word processing software,Microsoft Word
49-9071,Computer aided design CAD software,Autodesk AutoCAD
49-9071,Data base user interface and query software,Yardi software
49-9071,Electronic mail software,Microsoft Outlook
49-9071,Enterprise resource planning ERP software,SAP software
49-9071,Office suite software,Microsoft Office software
49-9071,Operating system software,Microsoft Windows
49-9071,Presentation software,Microsoft PowerPoint
49-9071,Project management software,Oracle Primavera Enterprise Project Portfolio Management
49-9071,Spreadsheet software,Microsoft Excel
49-9071,Web page creation and editing software,Facebook
49-9071,Word processing software,Microsoft Word
49-9081,Data base user interface and query software,Structured query language SQL
49-9081,Electronic mail software,Microsoft Outlook
49-9081,Enterprise resource planning ERP software,SAP software
49-9081,Office suite software,Microsoft Office software
49-9081,Presentation software,Microsoft PowerPoint
49-9081,Project management software,Microsoft Project
49-9081,Spreadsheet software,Microsoft Excel
49-9081,Word processing software,Microsoft Word
49-9091,Electronic mail software,Microsoft Outlook
49-9091,Presentation software,Microsoft PowerPoint
49-9091,Spreadsheet software,Microsoft Excel
49-9091,Word processing software,Microsoft Word
49-9094,Accounting software,Intuit QuickBooks
49-9094,Electronic mail software,Microsoft Outlook
49-9094,Office suite software,Microsoft Office software
49-9094,Presentation software,Microsoft PowerPoint
49-9094,Spreadsheet software,Microsoft Excel
49-9094,Word processing software,Microsoft Word
49-9095,Spreadsheet software,Microsoft Excel
49-9096,Computer aided design CAD software,Autodesk AutoCAD
49-9096,Electronic mail software,Microsoft Outlook
49-9096,Spreadsheet software,Microsoft Excel
49-9096,Word processing software,Microsoft Word
49-9097,Electronic mail software,Microsoft Outlook
